Timestamp,Attempt The Questions. [Q1-Did you feel that counselling and guidance by faculty members improved your academic performance],Attempt The Questions. [Q2-Do you think counselling and guidance by faculty members is required to cope difficult schedule of medical education],Attempt The Questions. [Q3 Did vigilance of faculty members help you in improving attendance % during session],Attempt The Questions. [Q4 Did vigilance of faculty members help you in improving grades during routine module exams],Attempt The Questions. [Q5-Guidance and training  by faculty members  regarding professional written  exam (seq & mcq) and viva helped you a lot],Attempt The Questions. [Q6- Do you think that personal experiences of faculty members( shared with students  regarding studies and exams ) guide you a lot],Attempt The Questions. [Q7-Did counselling  and guidance of faculty member help you regarding  time management],Attempt The Questions. [Q8-Did counselling of faculty member help you in solving your day to day SOCIAL   problems],Attempt The Questions. [Q9- Did counselling of faculty member help you in solving your day to day domestic  problems],Attempt The Questions. [Q10- Did you find your medical teacher guiding you whenever you get detracked in studies],"Attempt The Questions. [Q11 Did  guidance of your teachers  help you in scoring (position, distinction )in professional or module exams]",Attempt The Questions. [Q12-Career Counselling of medical students should be practiced in medical colleges ?],Group
11/19/2022 13:08:57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,A
11/19/2022 13:15:11,No,No,No,No,Yes,No,No,No,No,No,No,No,A
11/19/2022 13:26:58,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,A
11/19/2022 13:44:22,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,A
11/19/2022 14:03:31,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,A
11/19/2022 14:06:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,A
11/19/2022 14:35:30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 14:58:04,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 15:24:49,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:06:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:35:21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:41:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:42:05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:42:54,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,A
11/19/2022 16:43:27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:43:30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,A
11/19/2022 16:43:37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:43:46,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,A
